sub	session	condition	accuracy	RT
sub-5163	5	S_U	0.75	1.3664166666666668
sub-5163	7	S_C	0.9166666666666666	1.4049166666666668
sub-5163	7	S_H	0.9166666666666666	1.2338333333333336
sub-5163	7	S_L	0.9166666666666666	1.2593333333333334
sub-5163	7	S_U	0.75	1.2116818181818183
sub-5167	5	S_C	0.8333333333333333	1.7909166666666665
sub-5167	5	S_H	0.4166666666666667	1.5375625
sub-5167	5	S_L	0.41666666666666663	1.5215125
sub-5167	5	S_U	0.6666666666666667	1.251577380952381
sub-5167	7	S_C	0.875	1.1985000000000001
sub-5167	7	S_H	0.45833333333333337	1.2227474747474747
sub-5167	7	S_L	0.625	1.134
sub-5167	7	S_U	0.3333333333333333	0.9594944444444444
sub-5169	5	S_C	1.0	0.7536666666666667
sub-5169	5	S_H	0.6666666666666666	1.178193181818182
sub-5169	5	S_L	0.5833333333333334	1.2784015151515151
sub-5169	5	S_U	0.5833333333333334	1.2824583333333335
sub-5169	7	S_C	1.0	0.7089583333333334
sub-5169	7	S_H	1.0	0.972625
sub-5169	7	S_L	0.9583333333333333	1.0685416666666667
sub-5169	7	S_U	0.7916666666666667	1.2285530303030303
sub-5179	5	S_C	0.9583333333333333	1.8544999999999998
sub-5179	5	S_H	0.8333333333333333	1.3802916666666667
sub-5179	5	S_L	0.8333333333333333	1.4342083333333333
sub-5179	5	S_U	0.8333333333333333	1.2557916666666666
sub-5179	7	S_C	0.9583333333333333	0.75075
sub-5179	7	S_H	0.9166666666666666	1.1443333333333334
sub-5179	7	S_L	0.7916666666666666	1.127375
sub-5179	7	S_U	0.9583333333333333	1.16825
sub-5185	5	S_C	0.9583333333333333	1.5402916666666666
sub-5185	5	S_H	0.875	1.4487159090909092
sub-5185	5	S_L	0.7916666666666667	1.5495916666666667
sub-5185	5	S_U	0.625	1.452075
sub-5185	7	S_C	0.9583333333333333	0.7967500000000001
sub-5185	7	S_H	0.875	1.2002613636363637
sub-5185	7	S_L	0.8333333333333334	1.4027272727272726
sub-5185	7	S_U	0.8333333333333333	1.5203666666666666
sub-5199	5	S_C	0.8333333333333333	1.3710277777777777
sub-5199	5	S_H	0.75	1.3453472222222222
sub-5199	5	S_L	0.5	1.5342444444444445
sub-5199	5	S_U	0.875	1.5543863636363635
sub-5199	7	S_C	1.0	1.6867083333333333
sub-5199	7	S_H	1.0	1.3295
sub-5199	7	S_L	0.875	1.4925000000000002
sub-5199	7	S_U	0.9166666666666667	1.5617727272727273
sub-5215	5	S_C	0.9583333333333333	0.784125
sub-5215	5	S_H	0.9166666666666666	1.3697500000000002
sub-5215	5	S_L	0.8333333333333334	1.3688977272727272
sub-5215	5	S_U	0.875	1.6051060606060605
sub-5215	7	S_C	0.9583333333333333	0.9904166666666667
sub-5215	7	S_H	0.9583333333333333	1.2585416666666667
sub-5215	7	S_L	0.875	1.3949318181818182
sub-5215	7	S_U	0.9583333333333333	1.6484583333333334
sub-5259	5	S_C	0.9166666666666667	1.183375
sub-5259	5	S_H	0.875	1.4548166666666666
sub-5259	5	S_L	0.7916666666666667	1.4951666666666665
sub-5259	5	S_U	0.6666666666666666	1.6755454545454544
sub-5259	7	S_C	0.9166666666666667	1.8706
sub-5259	7	S_H	0.875	1.6699045454545454
sub-5259	7	S_L	0.875	1.636272727272727
sub-5259	7	S_U	0.875	1.4529818181818182
sub-5270	5	S_C	1.0	1.0691666666666668
sub-5270	5	S_H	0.9166666666666667	1.2265037878787879
sub-5270	5	S_L	0.9583333333333333	1.337
sub-5270	5	S_U	0.75	1.4913750000000001
sub-5270	7	S_C	0.9583333333333333	0.7328106060606061
sub-5270	7	S_H	0.9583333333333333	0.9722575757575758
sub-5270	7	S_L	0.875	1.0534583333333334
sub-5270	7	S_U	0.7083333333333333	1.2383333333333333
sub-5274	5	S_C	0.875	1.081996212121212
sub-5274	5	S_H	0.8333333333333333	1.4356
sub-5274	5	S_L	0.875	1.1351666666666667
