sub	session	condition	accuracy	RT
sub-5187	9	S_L	0.5416666666666667	1.2557916666666666
sub-5187	9	S_U	0.6666666666666666	1.3176666666666668
sub-5211	7	S_C	0.9166666666666666	0.8134166666666667
sub-5211	7	S_H	0.9166666666666667	1.2499318181818182
sub-5211	7	S_L	0.875	1.2803636363636364
sub-5211	7	S_U	0.6666666666666666	1.5626250000000002
sub-5211	9	S_C	1.0	0.665125
sub-5211	9	S_H	0.9166666666666667	1.1518333333333333
sub-5211	9	S_L	0.875	1.3550113636363637
sub-5211	9	S_U	0.8333333333333333	1.3508181818181817
sub-5215	7	S_C	0.9583333333333333	0.9904166666666667
sub-5215	7	S_H	0.9583333333333333	1.2585416666666667
sub-5215	7	S_L	0.875	1.3949318181818182
sub-5215	7	S_U	0.9583333333333333	1.6484583333333334
sub-5215	9	S_C	0.9583333333333333	1.1189545454545455
sub-5215	9	S_H	1.0	1.39425
sub-5215	9	S_L	0.8333333333333333	1.3153901515151516
sub-5215	9	S_U	0.9583333333333333	1.5615
sub-5231	7	S_C	0.9583333333333333	1.3427499999999999
sub-5231	7	S_H	0.9166666666666667	1.1323333333333334
sub-5231	7	S_L	0.8333333333333333	1.3987083333333334
sub-5231	7	S_U	0.7083333333333333	1.2573484848484848
sub-5231	9	S_C	1.0	1.2652916666666667
sub-5231	9	S_H	0.875	1.2573181818181818
sub-5231	9	S_L	0.7083333333333333	1.2446666666666668
sub-5231	9	S_U	0.9583333333333333	1.3567916666666666
sub-5308	7	S_C	0.9583333333333333	1.2104166666666667
sub-5308	7	S_H	0.9166666666666666	1.246
sub-5308	7	S_L	0.9166666666666667	1.39435
sub-5308	7	S_U	0.4583333333333333	1.4715555555555557
sub-5308	9	S_C	1.0	1.33
sub-5308	9	S_H	0.9166666666666667	1.1592954545454548
sub-5308	9	S_L	0.9166666666666667	1.4720378787878787
sub-5308	9	S_U	0.9583333333333333	1.6897992424242423
sub-5312	7	S_C	1.0	1.4819999999999998
sub-5312	7	S_H	1.0	1.1536666666666666
sub-5312	7	S_L	0.8333333333333333	1.2717083333333332
sub-5312	7	S_U	0.6666666666666666	1.4295555555555555
sub-5312	9	S_C	1.0	0.7155833333333332
sub-5312	9	S_H	0.9583333333333333	1.15125
sub-5312	9	S_L	0.9166666666666666	1.1817083333333334
sub-5312	9	S_U	0.7083333333333334	1.2872045454545455
sub-5317	7	S_C	0.9583333333333333	0.535
sub-5317	7	S_H	0.9166666666666667	1.1779166666666665
sub-5317	7	S_L	0.8333333333333333	1.3377083333333333
sub-5317	7	S_U	0.6666666666666667	1.4605416666666666
sub-5317	9	S_C	1.0	0.6292083333333334
sub-5317	9	S_H	1.0	1.1946666666666668
sub-5317	9	S_L	0.8333333333333333	1.3531666666666666
sub-5317	9	S_U	1.0	1.4703750000000002
sub-5334	7	S_C	1.0	1.2623333333333333
sub-5334	7	S_H	0.9583333333333333	1.1650606060606061
sub-5334	7	S_L	0.8333333333333334	1.293409090909091
sub-5334	7	S_U	1.0	1.4982916666666668
sub-5334	9	S_C	1.0	0.9833333333333333
sub-5334	9	S_H	1.0	1.0245000000000002
sub-5334	9	S_L	1.0	1.0853333333333333
sub-5334	9	S_U	0.9166666666666666	1.255125
sub-5357	7	S_C	0.9166666666666666	0.9713333333333333
sub-5357	7	S_H	0.875	1.327003787878788
sub-5357	7	S_L	1.0	1.2939583333333333
sub-5357	7	S_U	0.7916666666666667	1.5019545454545455
sub-5357	9	S_C	1.0	0.7422083333333334
sub-5357	9	S_H	0.8333333333333333	1.213375
sub-5357	9	S_L	0.8333333333333334	1.3006250000000001
sub-5357	9	S_U	0.8333333333333333	1.2614166666666669
sub-5365	7	S_C	0.9583333333333333	1.5838333333333332
sub-5365	7	S_H	0.875	1.1460416666666666
sub-5365	7	S_L	0.875	1.0766666666666667
sub-5365	7	S_U	0.75	1.1065
sub-5365	9	S_C	1.0	2.053125
sub-5365	9	S_H	0.9583333333333333	1.1772916666666666
sub-5365	9	S_L	0.9583333333333333	1.2492083333333333
sub-5365	9	S_U	1.0	1.2967499999999998
sub-5367	7	S_C	0.9583333333333333	1.5965833333333332
